accord,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Fmaj,0.020688096,0.79272324,0.027253604,0.20875855,0.08389708,0.05417472,0.83645904,0.02586254,0.072149046,0.044965334,0.76431024,0.047495525
Emaj,0.015261697,0.53789645,0.048236065,0.02935798,0.85659283,0.015992962,0.07832897,0.04867576,0.6650852,0.12207678,0.019823087,0.535562
G#min,0.16269422,0.34571272,0.02771942,0.46551284,0.28535855,0.058281947,0.28333062,0.058052044,0.61561424,0.07098236,0.24451049,0.2274344
Gmin,0.16269422,0.34571272,0.02771942,0.46551284,0.28535855,0.058281947,0.28333062,0.058052044,0.61561424,0.07098236,0.24451049,0.2274344
C#min,0.033665277,0.8793226,0.012326505,0.04388405,0.24458899,0.5525791,0.04689564,0.009431484,0.90881133,0.021879792,0.028809637,0.3144976
Cmin,0.033665277,0.8793226,0.012326505,0.04388405,0.24458899,0.5525791,0.04689564,0.009431484,0.90881133,0.021879792,0.028809637,0.3144976
D#min,0.017906103,0.53836924,0.009398806,0.93153965,0.0063980315,0.017604193,0.8382387,0.07542837,0.095969334,0.011610808,0.89081776,0.039905556
Dmin,0.017906103,0.53836924,0.009398806,0.93153965,0.0063980315,0.017604193,0.8382387,0.07542837,0.095969334,0.011610808,0.89081776,0.039905556
F#maj,0.014301863,0.5803374,0.06476642,0.13141724,0.2741415,0.018328378,0.743219,0.034948334,0.10088674,0.19922218,0.15424873,0.4508069
Fmaj,0.014301863,0.5803374,0.06476642,0.13141724,0.2741415,0.018328378,0.743219,0.034948334,0.10088674,0.19922218,0.15424873,0.4508069
Bmaj,0.026387827,0.064660214,0.10075786,0.12438171,0.70059943,0.011809949,0.15388508,0.09512934,0.42270124,0.0642416,0.018461011,0.7896547
F#maj,0.02149107,0.3219942,0.06562085,0.342975,0.1337077,0.023494089,0.7159241,0.07849255,0.07186201,0.078844294,0.28305793,0.52223766
Fmaj,0.02149107,0.3219942,0.06562085,0.342975,0.1337077,0.023494089,0.7159241,0.07849255,0.07186201,0.078844294,0.28305793,0.52223766
G#min,0.37486723,0.13227926,0.017045693,0.7652007,0.059010785,0.057422936,0.28899512,0.027250998,0.8551045,0.022400336,0.038855992,0.30228356
Gmin,0.37486723,0.13227926,0.017045693,0.7652007,0.059010785,0.057422936,0.28899512,0.027250998,0.8551045,0.022400336,0.038855992,0.30228356
Bmaj,0.044472564,0.14795932,0.07390769,0.61870927,0.108426094,0.051970806,0.5398738,0.111367784,0.21830475,0.033903677,0.49937522,0.47640514
C#min,0.017908962,0.908892,0.012316178,0.026557697,0.33730087,0.33387744,0.07622853,0.013675226,0.8037932,0.07007011,0.027686188,0.19920675
Cmin,0.017908962,0.908892,0.012316178,0.026557697,0.33730087,0.33387744,0.07622853,0.013675226,0.8037932,0.07007011,0.027686188,0.19920675
Bmaj,0.016284518,0.023975177,0.39518392,0.18760826,0.15856767,0.011224892,0.54061455,0.34168285,0.046428636,0.06555968,0.017641405,0.87303513
F#maj,0.022189664,0.78003,0.02694047,0.20803565,0.08424395,0.053588234,0.8086867,0.027815176,0.07698758,0.049473953,0.7267878,0.049531743
Fmaj,0.022189664,0.78003,0.02694047,0.20803565,0.08424395,0.053588234,0.8086867,0.027815176,0.07698758,0.049473953,0.7267878,0.049531743
Emaj,0.015208353,0.57863545,0.041689493,0.03678804,0.82524276,0.020229507,0.091853276,0.035527036,0.6945134,0.11312041,0.024672255,0.5094958
G#min,0.2437497,0.30123028,0.02508156,0.5107746,0.27501124,0.06351761,0.2647194,0.053349197,0.6926592,0.053905357,0.20058271,0.2577234
Gmin,0.2437497,0.30123028,0.02508156,0.5107746,0.27501124,0.06351761,0.2647194,0.053349197,0.6926592,0.053905357,0.20058271,0.2577234
C#min,0.0033545066,0.9482865,0.0039369357,0.016155561,0.8898538,0.025392868,0.05710762,0.002523589,0.93321824,0.028387543,0.011651381,0.43102154
Cmin,0.0033545066,0.9482865,0.0039369357,0.016155561,0.8898538,0.025392868,0.05710762,0.002523589,0.93321824,0.028387543,0.011651381,0.43102154
C#min,0.03902181,0.840051,0.017333983,0.05384771,0.2758916,0.48107708,0.05391922,0.011797494,0.89318234,0.027648963,0.03272832,0.33381784
Cmin,0.03902181,0.840051,0.017333983,0.05384771,0.2758916,0.48107708,0.05391922,0.011797494,0.89318234,0.027648963,0.03272832,0.33381784
F#maj,0.01484078,0.5580589,0.08029036,0.11709511,0.27728307,0.018253075,0.7337653,0.05961879,0.08651062,0.2475269,0.12301842,0.43028402
Fmaj,0.01484078,0.5580589,0.08029036,0.11709511,0.27728307,0.018253075,0.7337653,0.05961879,0.08651062,0.2475269,0.12301842,0.43028402
Bmaj,0.025937375,0.06609462,0.10928507,0.15103063,0.6428096,0.012438243,0.21142238,0.09671895,0.3635373,0.07027521,0.023207368,0.7869843
F#maj,0.01893986,0.43759957,0.05757992,0.30692437,0.13522059,0.024789935,0.7578668,0.062394407,0.0706311,0.085980445,0.33931047,0.43926448
Fmaj,0.01893986,0.43759957,0.05757992,0.30692437,0.13522059,0.024789935,0.7578668,0.062394407,0.0706311,0.085980445,0.33931047,0.43926448
G#min,0.39930606,0.12374667,0.016696902,0.7725704,0.055008836,0.05624251,0.29183325,0.026456667,0.8598892,0.022246715,0.03785948,0.27751467
